player names,vote-share,position,goals,assists,ops,dps,plus-minus,year
Jamie Benn,0.13,LW,26,37,6.2,2.0,15,2012
James Neal,0.13,LW,40,41,9.3,1.7,6,2012
Marián Hossa,0.07,RW,29,48,7.3,2.1,18,2012
Alex Ovechkin,60.89,RW,32,24,7.0,1.0,2,2013
Sidney Crosby,59.11,C,15,41,5.8,1.7,26,2013
John Tavares,51.34,C,28,19,5.6,1.0,-2,2013
Jonathan Toews,49.50,C,23,25,5.6,2.0,28,2013
Sergei Bobrovsky,17.37,G,0,0,0.0,0.0,0,2013
Patrick Kane,8.77,RW,23,32,6.3,1.3,11,2013
Ryan Getzlaf,5.36,C,15,34,4.6,1.5,14,2013
Steven Stamkos,1.56,C,29,28,6.4,0.7,-4,2013
Martin St. Louis,1.12,RW,17,43,5.4,0.8,0,2013
Pavel Datsyuk,1.01,C,15,34,4.5,2.1,21,2013
Antti Niemi,0.61,G,0,1,0.0,0.0,0,2013
Craig Anderson,0.56,G,0,0,0.0,0.0,0,2013
P.K. Subban,0.56,D,11,27,4.3,2.9,12,2013
Henrik Sedin,0.28,C,11,34,3.8,1.9,19,2013
Evgeni Nabokov,0.28,G,0,4,0.0,0.0,0,2013
Chris Kunitz,0.28,LW,22,30,5.8,2.0,30,2013
Niklas Bäckström,0.17,G,0,0,0.0,0.0,0,2013
Patrice Bergeron,0.17,C,10,22,2.4,1.9,24,2013
Ilya Kovalchuk,0.17,LW,11,20,2.3,1.0,-6,2013
Carey Price,0.17,G,0,0,0.0,0.0,0,2013
Ryan Suter,0.17,D,4,28,2.4,3.6,2,2013
Henrik Zetterberg,0.17,C,11,37,3.9,1.2,2,2013
François Beauchemin,0.06,D,6,18,2.0,3.8,19,2013
Jeff Carter,0.06,C,26,7,4.2,1.0,0,2013
Pascal Dupuis,0.06,LW,20,18,4.1,2.0,31,2013
Henrik Lundqvist,0.06,G,0,1,0.0,0.0,0,2013
Zach Parise,0.06,C,18,20,3.4,1.3,2,2013
James Reimer,0.06,G,0,1,0.0,0.0,0,2013
Eric Staal,0.06,C,18,35,5.2,1.2,5,2013
Sidney Crosby,97.81,C,36,68,10.7,2.8,18,2014
Ryan Getzlaf,64.01,C,31,56,8.8,2.4,28,2014
Claude Giroux,31.75,C,28,58,8.1,2.1,7,2014
Semyon Varlamov,18.69,G,0,3,0.0,0.0,,2014
Patrice Bergeron,10.00,C,30,32,6.4,2.8,38,2014
Tyler Seguin,6.13,C,37,47,9.3,2.2,16,2014
Joe Pavelski,5.18,C,41,38,8.8,2.8,23,2014
Anže Kopitar,4.23,C,29,41,6.4,3.7,34,2014
Jonathan Toews,3.87,C,28,40,6.4,2.3,26,2014
Ben Bishop,3.80,G,0,2,0.0,0.0,,2014
Tuukka Rask,2.55,G,0,2,0.0,0.0,,2014
Jamie Benn,2.55,C,34,45,8.4,2.5,21,2014
Corey Perry,2.12,RW,43,39,9.7,2.5,32,2014
Carey Price,1.46,G,0,2,0.0,0.0,,2014
Duncan Keith,1.39,D,6,55,5.1,4.9,22,2014
Gustav Nyquist,0.95,RW,28,20,6.0,1.7,16,2014
Matt Duchene,0.80,C,23,47,6.6,1.5,8,2014
Alexander Steen,0.66,LW,33,29,6.7,2.3,17,2014
John Tavares,0.66,C,24,42,6.7,1.1,-6,2014
Patrick Sharp,0.51,LW,34,44,8.2,1.8,13,2014
Shea Weber,0.29,D,23,33,6.2,4.5,-2,2014
Joe Thornton,0.22,C,11,65,5.3,2.6,20,2014
Jaromír Jágr,0.07,RW,24,43,5.8,2.9,16,2014
Patrick Marleau,0.07,LW,33,37,6.7,1.8,0,2014
Alex Ovechkin,0.07,LW,51,28,9.9,0.3,-35,2014
Ryan Suter,0.07,D,8,35,2.6,6.9,15,2014
Carey Price,95.41,G,0,1,0.0,0.0,0,2015
Alex Ovechkin,56.56,LW,53,28,10.4,2.2,10,2015
John Tavares,47.07,C,38,48,9.5,1.8,5,2015
Devan Dubnyk,26.11,G,0,2,0.0,0.0,0,2015
Sidney Crosby,8.79,C,28,56,8.2,2.0,5,2015
Ryan Getzlaf,7.90,C,25,45,6.5,2.1,15,2015
Rick Nash,4.46,LW,42,27,8.9,2.5,29,2015
Pekka Rinne,3.12,G,0,1,0.0,0.0,0,2015
Erik Karlsson,2.04,D,21,45,7.2,4.7,7,2015
Jonathan Toews,1.97,C,28,38,6.2,3.2,30,2015
Steven Stamkos,1.85,C,43,29,8.6,1.5,2,2015
Jamie Benn,1.46,LW,35,52,9.3,1.5,1,2015
Jiří Hudler,1.02,C,31,45,7.9,2.2,17,2015
Vladimir Tarasenko,0.89,RW,37,36,8.5,2.6,27,2015
Andrew Hammond,0.57,G,0,1,0.0,0.0,0,2015
P.K. Subban,0.32,D,15,45,5.8,6.6,21,2015
Drew Doughty,0.13,D,7,39,3.0,5.6,3,2015
Dustin Byfuglien,0.06,D,18,27,5.3,3.5,5,2015
Marc-André Fleury,0.06,G,0,1,0.0,0.0,0,2015
Braden Holtby,0.06,G,0,2,0.0,0.0,0,2015
Zach Parise,0.06,LW,33,29,6.9,2.5,21,2015
Shea Weber,0.06,D,15,30,4.2,5.4,15,2015
Patrick Kane,93.00,RW,46,60,12.4,2.6,17,2016
Sidney Crosby,53.33,C,36,49,9.1,2.4,19,2016
Jamie Benn,42.47,LW,41,48,10.3,1.7,7,2016
Braden Holtby,19.47,G,0,1,0.0,0.0,0,2016
Joe Thornton,17.80,C,19,63,7.1,2.9,25,2016
Alex Ovechkin,14.13,LW,50,21,9.1,2.6,21,2016
Jaromír Jágr,4.00,RW,27,39,6.9,2.3,23,2016
Anže Kopitar,3.53,C,25,49,6.5,3.3,34,2016
Erik Karlsson,2.93,D,16,66,8.4,3.2,-2,2016
Ben Bishop,2.80,G,0,1,0.0,0.0,0,2016
Drew Doughty,1.93,D,14,37,4.5,7.1,24,2016
Vladimir Tarasenko,0.87,RW,40,34,8.7,2.1,7,2016
John Tavares,0.67,C,33,37,7.4,1.9,6,2016
Joe Pavelski,0.53,C,38,40,8.4,3.0,25,2016
Roberto Luongo,0.53,G,0,2,0.0,0.0,0,2016
Claude Giroux,0.40,C,22,45,5.4,1.5,-8,2016
Henrik Lundqvist,0.33,G,0,4,0.0,0.0,0,2016
Cory Schneider,0.33,G,0,0,0.0,0.0,0,2016
Evgeny Kuznetsov,0.27,C,20,57,6.9,2.6,27,2016
Brent Burns,0.20,D,27,48,8.8,4.1,-5,2016
Ryan Getzlaf,0.20,C,13,50,4.4,2.6,14,2016
Ryan Kesler,0.20,C,21,32,4.1,2.3,5,2016
Kris Letang,0.07,D,16,51,7.0,4.3,9,2016
Connor McDavid,96.05,C,30,70,9.7,3.0,27,2017
Sidney Crosby,66.11,C,44,45,10.5,1.7,17,2017
Sergei Bobrovsky,28.08,G,0,0,0.0,0.0,0,2017
Brent Burns,16.35,D,29,47,8.9,6.4,19,2017
Erik Karlsson,15.45,D,17,54,7.2,5.7,10,2017
Patrick Kane,12.34,RW,34,55,8.7,2.1,11,2017
Brad Marchand,11.02,LW,39,46,9.8,2.8,18,2017
Nikita Kucherov,7.13,RW,40,45,9.7,2.2,13,2017
Nicklas Bäckström,3.59,C,23,63,7.8,2.1,17,2017
Braden Holtby,1.14,G,0,0,0.0,0.0,0,2017
Auston Matthews,1.02,C,40,29,8.2,1.5,2,2017
Alex Ovechkin,0.42,LW,33,36,7.0,1.7,6,2017
Ryan Suter,0.42,D,9,31,2.7,6.6,34,2017
Victor Hedman,0.30,D,16,56,7.3,4.7,3,2017
Devan Dubnyk,0.24,G,0,0,0.0,0.0,0,2017
Vladimir Tarasenko,0.24,RW,39,36,8.4,1.7,-1,2017
Cam Atkinson,0.06,RW,35,27,6.8,2.0,13,2017
Cam Talbot,0.06,G,0,0,0.0,0.0,0,2017
Taylor Hall,77.07,LW,39,54,9.9,2.3,14,2018
Nathan MacKinnon,72.80,C,39,58,10.0,2.2,11,2018
Anže Kopitar,33.60,C,35,57,7.9,3.1,21,2018
Claude Giroux,33.29,LW,34,68,9.0,2.8,28,2018
Connor McDavid,16.46,C,41,67,10.5,2.6,20,2018
Nikita Kucherov,10.12,RW,39,61,9.8,1.8,15,2018
Evgeni Malkin,5.91,C,42,56,10.2,2.2,16,2018
Blake Wheeler,4.21,RW,23,68,7.1,2.1,13,2018
Alex Ovechkin,2.26,LW,49,38,9.3,1.9,3,2018
William Karlsson,1.95,C,43,35,8.3,3.5,49,2018
Brad Marchand,0.61,LW,34,51,8.4,2.5,25,2018
Pekka Rinne,0.55,G,0,1,0.0,0.0,0,2018
Connor Hellebuyck,0.30,G,0,2,0.0,0.0,0,2018
Artemi Panarin,0.24,LW,27,55,6.8,2.6,23,2018
Sergei Bobrovsky,0.18,G,0,3,0.0,0.0,0,2018
Drew Doughty,0.18,D,10,50,4.4,7.3,23,2018
Patrice Bergeron,0.06,C,30,33,6.0,2.3,21,2018
Sidney Crosby,0.06,C,29,60,7.3,1.8,0,2018
Victor Hedman,0.06,D,17,46,5.7,5.2,32,2018
Eric Staal,0.06,C,42,34,8.0,1.8,8,2018
Nikita Kucherov,98.07,RW,41,87,12.3,2.3,24,2019
Sidney Crosby,43.22,C,35,65,8.9,2.4,18,2019
Connor McDavid,27.19,C,41,75,10.8,2.1,3,2019
Johnny Gaudreau,25.85,LW,36,63,8.8,2.1,18,2019
Brad Marchand,18.83,LW,36,64,9.2,2.5,15,2019
Nathan MacKinnon,15.50,C,41,58,9.1,2.7,20,2019
Alex Ovechkin,12.46,LW,51,38,9.2,1.8,7,2019
Patrick Kane,7.31,RW,44,66,10.2,1.6,2,2019
Mark Giordano,3.86,D,17,57,6.7,5.9,39,2019
Sebastian Aho,1.23,C,30,53,6.9,2.9,25,2019
Jordan Binnington,1.23,G,0,0,0.0,0.0,0,2019
Mark Stone,1.05,RW,33,40,6.3,2.4,17,2019
Ryan O'Reilly,0.88,C,28,49,5.8,3.0,22,2019
Steven Stamkos,0.70,C,45,53,10.1,1.4,4,2019
Patrice Bergeron,0.47,C,32,47,7.7,2.3,23,2019
Aleksander Barkov,0.41,C,35,61,7.9,2.1,-3,2019
Marc-André Fleury,0.41,G,0,2,0.0,0.0,0,2019
John Tavares,0.41,C,47,41,9.3,2.0,19,2019
Ben Bishop,0.29,G,0,2,0.0,0.0,0,2019
Brent Burns,0.29,D/RW,16,67,7.3,4.7,13,2019
Brayden Point,0.18,C,41,51,9.1,2.3,27,2019
Darcy Kuemper,0.06,G,0,2,0.0,0.0,0,2019
Mark Scheifele,0.06,C,38,46,7.3,2.2,8,2019
Andrei Vasilevskiy,0.06,G,0,3,0.0,0.0,0,2019
Leon Draisaitl,77.00,C,43,67,10.9,1.8,-7,2020
Nathan MacKinnon,68.35,C,35,58,8.9,1.9,13,2020
Artemi Panarin,52.29,LW,32,63,8.8,2.6,36,2020
David Pastrňák,21.71,RW,48,47,10.8,2.4,21,2020
Connor McDavid,18.18,C,34,63,9.3,1.6,-6,2020
Connor Hellebuyck,16.65,G,0,2,0.0,0.0,0,2020
Roman Josi,1.71,D,16,49,6.1,4.8,22,2020
Jack Eichel,0.82,C,36,42,7.5,2.0,5,2020
Brad Marchand,0.71,LW,28,59,7.8,2.6,25,2020
Evgeni Malkin,0.47,C,25,49,7.0,1.5,7,2020
Auston Matthews,0.47,C,47,33,8.9,2.0,19,2020
John Carlson,0.41,D,15,60,7.2,3.5,12,2020
Nikita Kucherov,0.35,RW,33,52,8.3,2.1,26,2020
Alex Ovechkin,0.35,LW,48,19,8.0,0.8,-12,2020
Jacob Markström,0.18,G,0,1,0.0,0.0,0,2020
Elias Pettersson,0.18,C,27,39,5.7,2.0,16,2020
Tristan Jarry,0.06,G,0,0,0.0,0.0,0,2020
Patrick Kane,0.06,RW,33,51,7.7,1.9,8,2020
J.T. Miller,0.06,C,27,45,6.0,1.9,11,2020
Connor McDavid,100.00,C,33,72,10.7,2.2,21,2021
Auston Matthews,60.00,C,41,25,7.6,1.9,21,2021
Nathan MacKinnon,31.30,C,20,45,5.9,1.9,22,2021
Sidney Crosby,22.30,C,24,38,5.8,1.2,8,2021
Brad Marchand,13.40,LW,29,40,7.3,2.3,26,2021
Aleksander Barkov,12.50,C,26,32,5.9,1.4,12,2021
Andrei Vasilevskiy,5.70,G,0,4,0.0,0.0,0,2021
Leon Draisaitl,4.40,C,31,53,8.4,2.5,29,2021
Mark Stone,3.90,RW,21,40,5.5,2.1,26,2021
Mikko Rantanen,1.50,RW,30,36,6.8,2.3,30,2021
Juuse Saros,1.40,G,0,0,0.0,0.0,0,2021
Cale Makar,1.00,D,8,36,4.0,3.3,17,2021
Adam Fox,0.50,D,5,42,3.7,4.1,19,2021
Jonathan Huberdeau,0.50,LW,20,41,5.7,1.4,12,2021
Patrick Kane,0.40,RW,15,51,4.9,1.2,-7,2021
Kirill Kaprizov,0.40,LW,27,24,5.4,1.3,10,2021
Sebastian Aho,0.30,F,24,33,5.2,2.0,16,2021
Ryan O'Reilly,0.20,C,24,30,4.7,2.2,26,2021
Connor Hellebuyck,0.10,G,0,0,0.0,0.0,0,2021
Mitch Marner,0.10,RW,20,47,5.3,2.0,21,2021
David Pastrňák,0.10,RW,20,28,4.5,1.5,10,2021
Auston Matthews,83.59,C,60,46,11.7,2.1,20,2022
Connor McDavid,56.97,C,44,79,11.1,2.8,28,2022
Igor Shesterkin,37.85,G,0,1,0.0,0.0,0,2022
Johnny Gaudreau,31.64,LW,40,75,10.8,3.9,64,2022
Jonathan Huberdeau,25.95,LW,30,85,9.6,2.3,35,2022
Roman Josi,12.36,D,23,73,8.8,5.2,13,2022
Kirill Kaprizov,6.46,LW,47,61,10.7,2.0,27,2022
Cale Makar,2.46,D,28,58,8.5,6.8,48,2022
Leon Draisaitl,1.44,C,55,55,10.9,2.4,17,2022
Alex Ovechkin,0.51,LW,50,40,9.4,2.0,8,2022
Steven Stamkos,0.31,C,42,64,10.1,2.4,24,2022
Aleksander Barkov,0.21,C,39,49,8.4,2.2,36,2022
Jason Robertson,0.15,LW,41,38,7.7,2.4,16,2022
J.T. Miller,0.05,C,32,67,8.1,2.5,15,2022
Matthew Tkachuk,0.05,RW,42,62,10.1,3.5,57,2022
Connor McDavid,99.54,C,64,89,15.8,2.4,22,2023
David Pastrňák,53.72,RW,61,52,12.1,2.9,34,2023
Matthew Tkachuk,37.81,LW/RW,40,69,9.8,2.5,29,2023
Jason Robertson,18.16,LW,46,63,10.8,3.1,37,2023
Nathan MacKinnon,14.03,C,42,69,10.2,2.9,29,2023
Mikko Rantanen,7.24,RW,55,50,10.2,2.6,15,2023
Leon Draisaitl,7.09,C,52,76,12.5,1.7,7,2023
Jack Hughes,7.04,C,43,56,9.4,2.0,10,2023
Ilya Sorokin,6.48,G,0,1,0.0,0.0,0,2023
Linus Ullmark,3.11,G,1,0,0.0,0.0,0,2023
Connor Hellebuyck,1.12,G,0,0,0.0,0.0,0,2023
Nikita Kucherov,1.07,RW,30,83,8.9,1.8,-2,2023
Mitch Marner,0.77,RW,30,69,7.5,2.7,18,2023
Tage Thompson,0.71,C,47,47,9.6,1.5,4,2023
Erik Karlsson,0.71,D,25,76,9.4,3.0,-26,2023
Auston Matthews,0.51,C,40,45,7.7,2.9,31,2023
Kirill Kaprizov,0.26,LW,40,35,7.2,2.0,4,2023
Sidney Crosby,0.20,C,33,60,7.4,2.2,8,2023
Elias Pettersson,0.20,C,39,63,8.6,2.3,16,2023
Juuse Saros,0.20,G,0,1,0.0,0.0,0,2023
Nathan MacKinnon,89.69,C,51,89,13.1,2.9,35,2024
Nikita Kucherov,65.41,RW,44,100,13.2,2.3,8,2024
Connor McDavid,43.56,C,32,100,11.2,2.9,35,2024
Auston Matthews,38.97,C,69,38,12.6,2.5,31,2024
Artemi Panarin,9.02,LW,49,71,11.7,2.7,18,2024
Connor Hellebuyck,5.36,G,0,0,0.0,0.0,0,2024
Quinn Hughes,3.20,D,17,75,7.9,6.5,38,2024
David Pastrňák,2.11,RW,47,63,10.7,2.6,21,2024
Sidney Crosby,1.96,C,42,52,8.7,2.0,7,2024
Roman Josi,0.41,D,23,62,8.0,4.8,12,2024
J.T. Miller,0.15,C,37,66,9.0,2.7,32,2024
Sebastian Aho,0.05,F,36,53,7.7,3.2,34,2024
Charlie Lindgren,0.05,G,0,0,0.0,0.0,0,2024
Sam Reinhart,0.05,C,57,37,10.0,3.1,29,2024
